Year,Total_Cases,crimes_per_10k_population
2016,224710,71.03567748013177
2017,198340,61.93770005464908
2018,177324,54.75954456601291
2019,166912,51.32153443122978
2020,131246,40.448974182751726
2021,105948,32.52293071057576
2022,101626,31.079903236559698
2023,104888,31.40190049638043
