Year,State,Crime_Category,Crime_Type,Cases,Level
2016,Sarawak,Property,Break In,1540,Subcategory
2016,Sarawak,Property,Theft Other,1405,Subcategory
2016,Sarawak,Property,Theft Vehicle,2928,Subcategory
2016,Selangor,Assault,Assault,6611,Main
2016,Selangor,Property,Property,24612,Main
2016,Selangor,Assault,Causing Injury,1260,Subcategory
2016,Selangor,Assault,Murder,105,Subcategory
2016,Selangor,Assault,Rape,305,Subcategory
2016,Selangor,Assault,Robbery Gang,4035,Subcategory
2016,Selangor,Assault,Robbery Solo,906,Subcategory
2016,Selangor,Property,Break In,5497,Subcategory
2016,Selangor,Property,Theft Other,5776,Subcategory
2016,Selangor,Property,Theft Vehicle,13339,Subcategory
2016,Terengganu,Assault,Assault,407,Main
2016,Terengganu,Property,Property,2087,Main
2016,Terengganu,Assault,Causing Injury,167,Subcategory
2016,Terengganu,Assault,Murder,11,Subcategory
2016,Terengganu,Assault,Rape,81,Subcategory
2016,Terengganu,Assault,Robbery Gang,88,Subcategory
2016,Terengganu,Assault,Robbery Solo,60,Subcategory
2016,Terengganu,Property,Break In,452,Subcategory
2016,Terengganu,Property,Theft Other,455,Subcategory
2016,Terengganu,Property,Theft Vehicle,1180,Subcategory
2016,W.P. Kuala Lumpur,Assault,Assault,3776,Main
2016,W.P. Kuala Lumpur,Property,Property,13213,Main
2016,W.P. Kuala Lumpur,Assault,Causing Injury,643,Subcategory
2016,W.P. Kuala Lumpur,Assault,Murder,41,Subcategory
2016,W.P. Kuala Lumpur,Assault,Rape,93,Subcategory
2016,W.P. Kuala Lumpur,Assault,Robbery Gang,2285,Subcategory
2016,W.P. Kuala Lumpur,Assault,Robbery Solo,714,Subcategory
2016,W.P. Kuala Lumpur,Property,Break In,1867,Subcategory
2016,W.P. Kuala Lumpur,Property,Theft Other,4883,Subcategory
2016,W.P. Kuala Lumpur,Property,Theft Vehicle,6463,Subcategory
2016,W.P. Labuan,Assault,Assault,24,Main
2016,W.P. Labuan,Property,Property,192,Main
2016,W.P. Labuan,Assault,Causing Injury,13,Subcategory
2016,W.P. Labuan,Assault,Murder,2,Subcategory
2016,W.P. Labuan,Assault,Rape,6,Subcategory
2016,W.P. Labuan,Assault,Robbery Gang,1,Subcategory
2016,W.P. Labuan,Assault,Robbery Solo,2,Subcategory
2016,W.P. Labuan,Property,Break In,64,Subcategory
2016,W.P. Labuan,Property,Theft Other,99,Subcategory
2016,W.P. Labuan,Property,Theft Vehicle,29,Subcategory
2016,W.P. Putrajaya,Assault,Assault,575,Main
2016,W.P. Putrajaya,Property,Property,263,Main
2016,W.P. Putrajaya,Assault,Causing Injury,4,Subcategory
2016,W.P. Putrajaya,Assault,Murder,1,Subcategory
2016,W.P. Putrajaya,Assault,Rape,5,Subcategory
2016,W.P. Putrajaya,Assault,Robbery Gang,455,Subcategory
2016,W.P. Putrajaya,Assault,Robbery Solo,110,Subcategory
2016,W.P. Putrajaya,Property,Break In,47,Subcategory
2016,W.P. Putrajaya,Property,Theft Other,105,Subcategory
2016,W.P. Putrajaya,Property,Theft Vehicle,111,Subcategory
2017,Johor,Assault,Assault,2578,Main
2017,Johor,Property,Property,8729,Main
